open_timestamp_utc,close_timestamp_utc,open,high,low,close,volume
1561653120,1561653179,2.80099,2.80099,2.80099,2.80099,8.0
1561653300,1561653359,2.80099,2.80099,2.8,2.8,229.48
1561653420,1561653479,2.62,2.62,2.41,2.6,1394.0
1561653480,1561653539,2.78,2.78,2.4,2.4,174.47
1561653720,1561653779,2.37,2.37,2.37,2.37,10.0
1561653900,1561653959,2.36502,2.36502,2.365,2.365,18.6
1561654080,1561654139,2.36249,2.37,2.36249,2.37,91.72
1561654260,1561654319,2.38,2.38,2.38,2.38,34.02
1561654320,1561654379,2.38,2.38,2.38,2.38,65.98
1561654440,1561654499,2.385,2.385,2.37,2.37,1157.64
1561654620,1561654679,2.38001,2.38001,2.25,2.25,15077.94
1561654680,1561654739,2.38,2.38,2.38,2.38,1.78
1561654740,1561654799,2.3809,2.3809,2.3809,2.3809,4.18
1561654800,1561654859,2.35,2.35,2.28,2.28,312.2
1561654860,1561654919,2.35,2.36,2.31,2.36,30.09
1561654980,1561655039,2.3809,2.3809,2.25,2.25,11519.87
1561655040,1561655099,2.28,2.28,2.28,2.28,8.75
1561655160,1561655219,2.24,2.24,2.24,2.24,330.0
1561655220,1561655279,2.27,2.27,2.27,2.27,30.58
1561655460,1561655519,2.26,2.26,2.26,2.26,29.18
1561655520,1561655579,2.25,2.26,2.25,2.26,8.41
1561655580,1561655639,2.26,2.26,2.26,2.26,88.27
1561655640,1561655699,2.26,2.26,2.26,2.26,128.14
1561655760,1561655819,2.26,2.26,2.26,2.26,44.19
1561655940,1561655999,2.255,2.255,2.255,2.255,1001.0
1561656000,1561656059,2.3809,2.39,2.3809,2.39,683.76
1561656060,1561656119,2.39,2.4,2.25,2.25,507.27
1561656120,1561656179,2.25,2.25,2.25,2.25,761.23
1561656300,1561656359,2.3,2.3,2.24,2.24,1778.9
1561656360,1561656419,2.24,2.3,2.24,2.3,1100.18
1561656420,1561656479,2.24,2.24,2.2,2.2,407.39
1561656540,1561656599,2.25999,2.25999,2.25999,2.25999,120.49
1561656600,1561656659,2.25999,2.25999,2.25999,2.25999,216.27
1561656720,1561656779,2.25999,2.26,2.25999,2.26,847.09
1561656840,1561656899,2.26,2.26,2.26,2.26,26.48
1561656900,1561656959,2.26,2.3,2.26,2.3,2973.91
